    Ghosts,         Modules,  Run,        AVG,     StdDev,        Min,        Max,     StdErr,        Sum,          SumSq,         SD,STDERRofAVG
  POGhosts,      ONE_MODULE,0,815.2,1179.5526,60,7910,118,81520,204198200,1179.5526,97.92491685
  POGhosts,      ONE_MODULE,1,1171.9,1591.5209,170,8650,159.2,117190,388095900,1591.5209,
  POGhosts,      ONE_MODULE,2,652.1,962.5768,70,5920,96.3,65210,134252300,962.5768,
  POGhosts,      ONE_MODULE,3,590.2,1014.5517,70,5960,101.5,59020,136735800,1014.5517,
  POGhosts,      ONE_MODULE,4,2252.2,1962.2244,190,8010,196.2,225220,888422600,1962.2244,
  POGhosts,      ONE_MODULE,5,849.3,1162.1795,70,6750,116.2,84930,205846500,1162.1795,
  POGhosts,      ONE_MODULE,6,576.9,931.3081,70,5410,93.1,57690,119147500,931.3081,
  POGhosts,      ONE_MODULE,7,317.2,321.537,70,2730,32.2,31720,20296800,321.537,
  POGhosts,      ONE_MODULE,8,598.6,667.4602,70,4200,66.7,59860,79937000,667.4602,
  POGhosts,      ONE_MODULE,9,864.6,1035.5581,70,5600,103.6,86460,180919000,1035.5581,
  POGhosts,      ONE_MODULE,10,449,565.2951,110,4070,56.5,44900,51796400,565.2951,
  POGhosts,      ONE_MODULE,11,625.8,698.9287,160,3760,69.9,62580,87524200,698.9287,
  POGhosts,      ONE_MODULE,12,1519.4,1734.7982,170,8080,173.5,151940,528800600,1734.7982,
  POGhosts,      ONE_MODULE,13,672.4,792.8202,110,3760,79.3,67240,107440000,792.8202,
  POGhosts,      ONE_MODULE,14,1283.1,1360.331,120,7560,136,128310,347834100,1360.331,
  POGhosts,      ONE_MODULE,15,1121.8,816.5812,70,4540,81.7,112180,191857200,816.5812,
  POGhosts,      ONE_MODULE,16,826.4,1005.837,70,4320,100.6,82640,168452800,1005.837,
  POGhosts,      ONE_MODULE,17,998.8,1006.999,130,3940,100.7,99880,200150800,1006.999,
  POGhosts,      ONE_MODULE,18,1244.6,1244.1105,70,7030,124.4,124460,308136200,1244.1105,
  POGhosts,      ONE_MODULE,19,917.4,1227.2402,70,8090,122.7,91740,233268000,1227.2402,
  POGhosts,     TWO_MODULES,0,1680.9,1729.1892,180,7990,172.9,168090,578561900,1729.1892,97.61564879
  POGhosts,     TWO_MODULES,1,443.7,861.8182,70,5610,86.2,44370,93217300,861.8182,
  POGhosts,     TWO_MODULES,2,1292,1399.2675,140,8230,139.9,129200,360763400,1399.2675,
