    Ghosts,         Modules,  Run,        AVG,     StdDev,        Min,        Max,     StdErr,        Sum,          SumSq,         SD
  POGhosts,      ONE_MODULE,    0,   815.2000,  1179.5526,       60.0,     7910.0,      118.0,    81520.0,    204198200.0,  1179.5526
  POGhosts,      ONE_MODULE,    1,  1171.9000,  1591.5209,      170.0,     8650.0,      159.2,   117190.0,    388095900.0,  1591.5209
  POGhosts,      ONE_MODULE,    2,   652.1000,   962.5768,       70.0,     5920.0,       96.3,    65210.0,    134252300.0,   962.5768
  POGhosts,      ONE_MODULE,    3,   590.2000,  1014.5517,       70.0,     5960.0,      101.5,    59020.0,    136735800.0,  1014.5517
  POGhosts,      ONE_MODULE,    4,  2252.2000,  1962.2244,      190.0,     8010.0,      196.2,   225220.0,    888422600.0,  1962.2244
  POGhosts,      ONE_MODULE,    5,   849.3000,  1162.1795,       70.0,     6750.0,      116.2,    84930.0,    205846500.0,  1162.1795
  POGhosts,      ONE_MODULE,    6,   576.9000,   931.3081,       70.0,     5410.0,       93.1,    57690.0,    119147500.0,   931.3081
  POGhosts,      ONE_MODULE,    7,   317.2000,   321.5370,       70.0,     2730.0,       32.2,    31720.0,     20296800.0,   321.5370
  POGhosts,      ONE_MODULE,    8,   598.6000,   667.4602,       70.0,     4200.0,       66.7,    59860.0,     79937000.0,   667.4602
  POGhosts,      ONE_MODULE,    9,   864.6000,  1035.5581,       70.0,     5600.0,      103.6,    86460.0,    180919000.0,  1035.5581
  POGhosts,      ONE_MODULE,   10,   449.0000,   565.2951,      110.0,     4070.0,       56.5,    44900.0,     51796400.0,   565.2951
  POGhosts,      ONE_MODULE,   11,   625.8000,   698.9287,      160.0,     3760.0,       69.9,    62580.0,     87524200.0,   698.9287
  POGhosts,      ONE_MODULE,   12,  1519.4000,  1734.7982,      170.0,     8080.0,      173.5,   151940.0,    528800600.0,  1734.7982
  POGhosts,      ONE_MODULE,   13,   672.4000,   792.8202,      110.0,     3760.0,       79.3,    67240.0,    107440000.0,   792.8202
  POGhosts,      ONE_MODULE,   14,  1283.1000,  1360.3310,      120.0,     7560.0,      136.0,   128310.0,    347834100.0,  1360.3310
  POGhosts,      ONE_MODULE,   15,  1121.8000,   816.5812,       70.0,     4540.0,       81.7,   112180.0,    191857200.0,   816.5812
  POGhosts,      ONE_MODULE,   16,   826.4000,  1005.8370,       70.0,     4320.0,      100.6,    82640.0,    168452800.0,  1005.8370
  POGhosts,      ONE_MODULE,   17,   998.8000,  1006.9990,      130.0,     3940.0,      100.7,    99880.0,    200150800.0,  1006.9990
  POGhosts,      ONE_MODULE,   18,  1244.6000,  1244.1105,       70.0,     7030.0,      124.4,   124460.0,    308136200.0,  1244.1105
  POGhosts,      ONE_MODULE,   19,   917.4000,  1227.2402,       70.0,     8090.0,      122.7,    91740.0,    233268000.0,  1227.2402
  POGhosts,     TWO_MODULES,    0,  1680.9000,  1729.1892,      180.0,     7990.0,      172.9,   168090.0,    578561900.0,  1729.1892
  POGhosts,     TWO_MODULES,    1,   443.7000,   861.8182,       70.0,     5610.0,       86.2,    44370.0,     93217300.0,   861.8182
