    Ghosts,         Modules,  Run,        AVG,     StdDev,        Min,        Max,     StdErr,        Sum,          SumSq,         SD,STDERRofAVG
  POGhosts,      ONE_MODULE,0,960.3,1237.373,70,5660,123.7,96030,243795700,1237.373,121.9434589
  POGhosts,      ONE_MODULE,1,1143.6,1435.6982,80,10580,143.6,114360,334843800,1435.6982,
  POGhosts,      ONE_MODULE,2,1239.3,1550.7107,70,7060,155.1,123930,391652100,1550.7107,
  POGhosts,      ONE_MODULE,3,778,992.5816,90,4700,99.3,77800,158065000,992.5816,
  POGhosts,      ONE_MODULE,4,2789.3,2147.5592,350,11440,214.8,278930,1234608500,2147.5592,
  POGhosts,      ONE_MODULE,5,1237.9,1449.9985,70,7250,145,123790,361386700,1449.9985,
  POGhosts,      ONE_MODULE,6,1087.1,1413.9245,70,7850,141.4,108710,316097700,1413.9245,
  POGhosts,      ONE_MODULE,7,356.5,314.059,70,2310,31.4,35650,22473900,314.059,
  POGhosts,      ONE_MODULE,8,698,778.2381,70,4020,77.8,69800,108680200,778.2381,
  POGhosts,      ONE_MODULE,9,1478.3,1742.0301,70,6360,174.2,147830,518969300,1742.0301,
  POGhosts,      ONE_MODULE,10,376,602.4797,70,3640,60.2,37600,50072800,602.4797,
  POGhosts,      ONE_MODULE,11,692.5,1126.3406,70,7140,112.6,69250,173551300,1126.3406,
  POGhosts,      ONE_MODULE,12,1517.1,1523.4512,180,8400,152.3,151710,459928700,1523.4512,
  POGhosts,      ONE_MODULE,13,1469,1782.9776,70,6560,178.3,146900,530518000,1782.9776,
  POGhosts,      ONE_MODULE,14,1522.5,1574.9038,190,6780,157.5,152250,477352500,1574.9038,
  POGhosts,      ONE_MODULE,15,1154.9,1021.4562,70,5220,102.1,115490,236673300,1021.4562,
  POGhosts,      ONE_MODULE,16,1311.8,1228.469,70,5180,122.8,131180,321486400,1228.469,
  POGhosts,      ONE_MODULE,17,1064.8,1048.0569,160,4880,104.8,106480,222123800,1048.0569,
  POGhosts,      ONE_MODULE,18,1573.2,1711.9095,70,7130,171.2,157320,537628600,1711.9095,
  POGhosts,      ONE_MODULE,19,493.1,1008.8534,40,4830,100.9,49310,125075500,1008.8534,
  POGhosts,     TWO_MODULES,0,2111.6,2103.0145,170,12580,210.3,211160,883729800,2103.0145,111.2188268
  POGhosts,     TWO_MODULES,1,650.1,1325.8849,70,7440,132.6,65010,216302100,1325.8849,
  POGhosts,     TWO_MODULES,2,1833.1,1794.9546,80,7210,179.5,183310,654989900,1794.9546,
  POGhosts,     TWO_MODULES,3,1150.3,1221.7411,140,7050,122.2,115030,280091500,1221.7411,
  POGhosts,     TWO_MODULES,4,1224.6,1495.9153,70,8110,149.6,122460,371503000,1495.9153,
  POGhosts,     TWO_MODULES,5,948.5,900.4537,70,6600,90,94850,170236100,900.4537,
  POGhosts,     TWO_MODULES,6,1041.6,1112.3156,80,3980,111.2,104160,230980400,1112.3156,
  POGhosts,     TWO_MODULES,7,770,1058.688,70,4660,105.9,77000,170251200,1058.688,
  POGhosts,     TWO_MODULES,8,733.9,762.301,150,4350,76.2,73390,111390100,762.301,
  POGhosts,     TWO_MODULES,9,1424.9,1413.4695,70,6030,141.3,142490,400825700,1413.4695,
  POGhosts,     TWO_MODULES,10,916.2,970.2023,110,5140,97,91620,177130200,970.2023,
  POGhosts,     TWO_MODULES,11,1550.7,1857.4955,70,8590,185.7,155070,582045700,1857.4955,
  POGhosts,     TWO_MODULES,12,563.4,952.7061,70,6960,95.3,56340,121599200,952.7061,
  POGhosts,     TWO_MODULES,13,1715.6,1574.6671,130,7160,157.5,171560,539806400,1574.6671,
  POGhosts,     TWO_MODULES,14,558.3,835.0286,70,3910,83.5,55830,100199900,835.0286,
  POGhosts,     TWO_MODULES,15,740,904.8299,60,3950,90.5,74000,135813000,904.8299,
  POGhosts,     TWO_MODULES,16,530.5,895.1287,70,4570,89.5,53050,107467300,895.1287,
  POGhosts,     TWO_MODULES,17,1776,1725.6959,70,7060,172.6,177600,610242200,1725.6959,
  POGhosts,     TWO_MODULES,18,909.1,1109.8877,130,6210,111,90910,204599500,1109.8877,
  POGhosts,     TWO_MODULES,19,1764.4,1709.3388,230,8910,170.9,176440,600572800,1709.3388,
  POGhosts,   THREE_MODULES,0,1825.8,1841.4236,150,8810,184.1,182580,669047800,1841.4236,157.5521405
  POGhosts,   THREE_MODULES,1,1022.8,1379.9561,70,5730,138,102280,293135600,1379.9561,
  POGhosts,   THREE_MODULES,2,837.8,1217.5274,100,7330,121.8,83780,216945800,1217.5274,
  POGhosts,   THREE_MODULES,3,939.9,1264.0951,70,6880,126.4,93990,246536900,1264.0951,
  POGhosts,   THREE_MODULES,4,609.6,981.8195,70,4780,98.2,60960,132594200,981.8195,
  POGhosts,   THREE_MODULES,5,722.8,880.5004,60,6090,88.1,72280,128996800,880.5004,
  POGhosts,   THREE_MODULES,6,1387.8,1600.3734,110,6430,160,138780,446157200,1600.3734,
  POGhosts,   THREE_MODULES,7,535.7,878.1584,70,3780,87.8,53570,105042500,878.1584,
