    Ghosts,         Modules,  Run,        AVG,     StdDev,        Min,        Max,     StdErr,        Sum,          SumSq,         SD
  POGhosts,      ONE_MODULE,    0,   960.3000,  1237.3730,       70.0,     5660.0,      123.7,    96030.0,    243795700.0,  1237.3730
  POGhosts,      ONE_MODULE,    1,  1143.6000,  1435.6982,       80.0,    10580.0,      143.6,   114360.0,    334843800.0,  1435.6982
  POGhosts,      ONE_MODULE,    2,  1239.3000,  1550.7107,       70.0,     7060.0,      155.1,   123930.0,    391652100.0,  1550.7107
  POGhosts,      ONE_MODULE,    3,   778.0000,   992.5816,       90.0,     4700.0,       99.3,    77800.0,    158065000.0,   992.5816
  POGhosts,      ONE_MODULE,    4,  2789.3000,  2147.5592,      350.0,    11440.0,      214.8,   278930.0,   1234608500.0,  2147.5592
  POGhosts,      ONE_MODULE,    5,  1237.9000,  1449.9985,       70.0,     7250.0,      145.0,   123790.0,    361386700.0,  1449.9985
  POGhosts,      ONE_MODULE,    6,  1087.1000,  1413.9245,       70.0,     7850.0,      141.4,   108710.0,    316097700.0,  1413.9245
  POGhosts,      ONE_MODULE,    7,   356.5000,   314.0590,       70.0,     2310.0,       31.4,    35650.0,     22473900.0,   314.0590
  POGhosts,      ONE_MODULE,    8,   698.0000,   778.2381,       70.0,     4020.0,       77.8,    69800.0,    108680200.0,   778.2381
  POGhosts,      ONE_MODULE,    9,  1478.3000,  1742.0301,       70.0,     6360.0,      174.2,   147830.0,    518969300.0,  1742.0301
  POGhosts,      ONE_MODULE,   10,   376.0000,   602.4797,       70.0,     3640.0,       60.2,    37600.0,     50072800.0,   602.4797
  POGhosts,      ONE_MODULE,   11,   692.5000,  1126.3406,       70.0,     7140.0,      112.6,    69250.0,    173551300.0,  1126.3406
  POGhosts,      ONE_MODULE,   12,  1517.1000,  1523.4512,      180.0,     8400.0,      152.3,   151710.0,    459928700.0,  1523.4512
  POGhosts,      ONE_MODULE,   13,  1469.0000,  1782.9776,       70.0,     6560.0,      178.3,   146900.0,    530518000.0,  1782.9776
  POGhosts,      ONE_MODULE,   14,  1522.5000,  1574.9038,      190.0,     6780.0,      157.5,   152250.0,    477352500.0,  1574.9038
  POGhosts,      ONE_MODULE,   15,  1154.9000,  1021.4562,       70.0,     5220.0,      102.1,   115490.0,    236673300.0,  1021.4562
  POGhosts,      ONE_MODULE,   16,  1311.8000,  1228.4690,       70.0,     5180.0,      122.8,   131180.0,    321486400.0,  1228.4690
  POGhosts,      ONE_MODULE,   17,  1064.8000,  1048.0569,      160.0,     4880.0,      104.8,   106480.0,    222123800.0,  1048.0569
  POGhosts,      ONE_MODULE,   18,  1573.2000,  1711.9095,       70.0,     7130.0,      171.2,   157320.0,    537628600.0,  1711.9095
  POGhosts,      ONE_MODULE,   19,   493.1000,  1008.8534,       40.0,     4830.0,      100.9,    49310.0,    125075500.0,  1008.8534
  POGhosts,     TWO_MODULES,    0,  2111.6000,  2103.0145,      170.0,    12580.0,      210.3,   211160.0,    883729800.0,  2103.0145
  POGhosts,     TWO_MODULES,    1,   650.1000,  1325.8849,       70.0,     7440.0,      132.6,    65010.0,    216302100.0,  1325.8849
  POGhosts,     TWO_MODULES,    2,  1833.1000,  1794.9546,       80.0,     7210.0,      179.5,   183310.0,    654989900.0,  1794.9546
  POGhosts,     TWO_MODULES,    3,  1150.3000,  1221.7411,      140.0,     7050.0,      122.2,   115030.0,    280091500.0,  1221.7411
  POGhosts,     TWO_MODULES,    4,  1224.6000,  1495.9153,       70.0,     8110.0,      149.6,   122460.0,    371503000.0,  1495.9153
  POGhosts,     TWO_MODULES,    5,   948.5000,   900.4537,       70.0,     6600.0,       90.0,    94850.0,    170236100.0,   900.4537
  POGhosts,     TWO_MODULES,    6,  1041.6000,  1112.3156,       80.0,     3980.0,      111.2,   104160.0,    230980400.0,  1112.3156
  POGhosts,     TWO_MODULES,    7,   770.0000,  1058.6880,       70.0,     4660.0,      105.9,    77000.0,    170251200.0,  1058.6880
  POGhosts,     TWO_MODULES,    8,   733.9000,   762.3010,      150.0,     4350.0,       76.2,    73390.0,    111390100.0,   762.3010
  POGhosts,     TWO_MODULES,    9,  1424.9000,  1413.4695,       70.0,     6030.0,      141.3,   142490.0,    400825700.0,  1413.4695
  POGhosts,     TWO_MODULES,   10,   916.2000,   970.2023,      110.0,     5140.0,       97.0,    91620.0,    177130200.0,   970.2023
  POGhosts,     TWO_MODULES,   11,  1550.7000,  1857.4955,       70.0,     8590.0,      185.7,   155070.0,    582045700.0,  1857.4955
  POGhosts,     TWO_MODULES,   12,   563.4000,   952.7061,       70.0,     6960.0,       95.3,    56340.0,    121599200.0,   952.7061
  POGhosts,     TWO_MODULES,   13,  1715.6000,  1574.6671,      130.0,     7160.0,      157.5,   171560.0,    539806400.0,  1574.6671
  POGhosts,     TWO_MODULES,   14,   558.3000,   835.0286,       70.0,     3910.0,       83.5,    55830.0,    100199900.0,   835.0286
  POGhosts,     TWO_MODULES,   15,   740.0000,   904.8299,       60.0,     3950.0,       90.5,    74000.0,    135813000.0,   904.8299
  POGhosts,     TWO_MODULES,   16,   530.5000,   895.1287,       70.0,     4570.0,       89.5,    53050.0,    107467300.0,   895.1287
  POGhosts,     TWO_MODULES,   17,  1776.0000,  1725.6959,       70.0,     7060.0,      172.6,   177600.0,    610242200.0,  1725.6959
  POGhosts,     TWO_MODULES,   18,   909.1000,  1109.8877,      130.0,     6210.0,      111.0,    90910.0,    204599500.0,  1109.8877
  POGhosts,     TWO_MODULES,   19,  1764.4000,  1709.3388,      230.0,     8910.0,      170.9,   176440.0,    600572800.0,  1709.3388
  POGhosts,   THREE_MODULES,    0,  1825.8000,  1841.4236,      150.0,     8810.0,      184.1,   182580.0,    669047800.0,  1841.4236
  POGhosts,   THREE_MODULES,    1,  1022.8000,  1379.9561,       70.0,     5730.0,      138.0,   102280.0,    293135600.0,  1379.9561
  POGhosts,   THREE_MODULES,    2,   837.8000,  1217.5274,      100.0,     7330.0,      121.8,    83780.0,    216945800.0,  1217.5274
  POGhosts,   THREE_MODULES,    3,   939.9000,  1264.0951,       70.0,     6880.0,      126.4,    93990.0,    246536900.0,  1264.0951
  POGhosts,   THREE_MODULES,    4,   609.6000,   981.8195,       70.0,     4780.0,       98.2,    60960.0,    132594200.0,   981.8195
  POGhosts,   THREE_MODULES,    5,   722.8000,   880.5004,       60.0,     6090.0,       88.1,    72280.0,    128996800.0,   880.5004
  POGhosts,   THREE_MODULES,    6,  1387.8000,  1600.3734,      110.0,     6430.0,      160.0,   138780.0,    446157200.0,  1600.3734
  POGhosts,   THREE_MODULES,    7,   535.7000,   878.1584,       70.0,     3780.0,       87.8,    53570.0,    105042500.0,   878.1584
  POGhosts,   THREE_MODULES,    8,   992.7000,  1523.7884,       70.0,     9710.0,      152.4,    99270.0,    328416500.0,  1523.7884
  POGhosts,   THREE_MODULES,    9,   327.5000,   423.7266,       40.0,     2540.0,       42.4,    32750.0,     28500500.0,   423.7266
  POGhosts,   THREE_MODULES,   10,   716.3000,  1106.9155,       70.0,     8390.0,      110.7,    71630.0,    172609500.0,  1106.9155
  POGhosts,   THREE_MODULES,   11,  1907.0000,  2019.8242,       70.0,     9020.0,      202.0,   190700.0,    767554200.0,  2019.8242
  POGhosts,   THREE_MODULES,   12,  1508.4000,  1823.0077,      190.0,     9020.0,      182.3,   150840.0,    556539400.0,  1823.0077
  POGhosts,   THREE_MODULES,   13,  1407.2000,  1572.5975,       70.0,     8530.0,      157.3,   140720.0,    442854400.0,  1572.5975
