    Ghosts,         Modules,  Run,        AVG,     StdDev,        Min,        Max,     StdErr,        Sum,          SumSq,         SD,STDERRofAVG
  POGhosts,      ONE_MODULE,0,4061.7,3458.309,250,14530,345.8,406170,2833770900,3458.309,401.6022891
  POGhosts,      ONE_MODULE,1,5772.9,4191.6917,250,16730,419.2,577290,5072095100,4191.6917,
  POGhosts,      ONE_MODULE,2,4751.7,4180.5021,170,12890,418.1,475170,3988048500,4180.5021,
  POGhosts,      ONE_MODULE,3,2948.1,3422.4894,200,15010,342.2,294810,2028759300,3422.4894,
  POGhosts,      ONE_MODULE,4,7763.6,3291.3868,350,14790,329.1,776360,7099838000,3291.3868,
  POGhosts,      ONE_MODULE,5,2968.9,3602.4845,150,15850,360.2,296890,2166248300,3602.4845,
  POGhosts,      ONE_MODULE,6,3541,3782.571,260,12450,378.3,354100,2670344600,3782.571,
  POGhosts,      ONE_MODULE,7,631.4,571.2843,160,3860,57.1,63140,72176800,571.2843,
  POGhosts,      ONE_MODULE,8,2465.2,3015.9912,220,12100,301.6,246520,1508245200,3015.9912,
  POGhosts,      ONE_MODULE,9,3263.8,3802.7161,90,12920,380.3,326380,2496843400,3802.7161,
  POGhosts,      ONE_MODULE,10,1413.5,2413.716,130,11020,241.4,141350,776574700,2413.716,
  POGhosts,      ONE_MODULE,11,3036.5,4418.0654,140,15600,441.8,303650,2854444100,4418.0654,
  POGhosts,      ONE_MODULE,12,5153.8,4019.9057,140,13990,402,515380,4255970000,4019.9057,
  POGhosts,      ONE_MODULE,13,2713.3,3104.9504,280,13010,310.5,271330,1690630700,3104.9504,
  POGhosts,      ONE_MODULE,14,5841.7,4180.377,160,14000,418,584170,5142625500,4180.377,
  POGhosts,      ONE_MODULE,15,6856.1,4554.9252,350,15600,455.5,685610,6754597700,4554.9252,
  POGhosts,      ONE_MODULE,16,3420.7,3626.323,310,12370,362.6,342070,2471990500,3626.323,
  POGhosts,      ONE_MODULE,17,4193.4,3379.3948,350,13060,337.9,419340,2889071000,3379.3948,
  POGhosts,      ONE_MODULE,18,5749.2,3752.7807,160,15160,375.3,574920,4699583000,3752.7807,
  POGhosts,      ONE_MODULE,19,5159.5,3937.7616,210,16430,393.8,515950,4197134700,3937.7616,
  POGhosts,     TWO_MODULES,0,4571.8,3784.7337,520,15560,378.5,457180,3508232200,3784.7337,310.0106373
  POGhosts,     TWO_MODULES,1,1574.3,2543.0866,170,13000,254.3,157430,888103700,2543.0866,
  POGhosts,     TWO_MODULES,2,5281.1,3909.7516,370,13520,391,528110,4302331300,3909.7516,
  POGhosts,     TWO_MODULES,3,5240.4,3555.5939,240,12630,355.6,524040,3997761800,3555.5939,
  POGhosts,     TWO_MODULES,4,4126,3990.8706,300,13590,399.1,412600,3279165400,3990.8706,
  POGhosts,     TWO_MODULES,5,3694.2,3736.819,230,13630,373.7,369420,2747129200,3736.819,
  POGhosts,     TWO_MODULES,6,2151.7,2565.0916,190,10520,256.5,215170,1114371100,2565.0916,
