    Ghosts,         Modules,  Run,        AVG,     StdDev,        Min,        Max,     StdErr,        Sum,          SumSq,         SD,STDERRofAVG
  POGhosts,      ONE_MODULE,0,5364.2,4158.3964,280,16300,415.8,536420,4589398000,4158.3964,514.465038
  POGhosts,      ONE_MODULE,1,8182.6,4275.5378,550,18320,427.6,818260,8505236400,4275.5378,
  POGhosts,      ONE_MODULE,2,5558.1,4572.6059,140,17320,457.3,555810,5159211300,4572.6059,
  POGhosts,      ONE_MODULE,3,2755.4,3913.9784,100,16720,391.4,275540,2275826400,3913.9784,
  POGhosts,      ONE_MODULE,4,8764.3,4087.6355,1340,16330,408.8,876430,9335463100,4087.6355,
  POGhosts,      ONE_MODULE,5,3271.6,4099.1898,230,18180,409.9,327160,2733869000,4099.1898,
  POGhosts,      ONE_MODULE,6,4125.7,3685.5687,260,15440,368.6,412570,3046898300,3685.5687,
  POGhosts,      ONE_MODULE,7,1108.2,1928.5256,110,13900,192.9,110820,491012600,1928.5256,
  POGhosts,      ONE_MODULE,8,3374.9,4205.068,280,16290,420.5,337490,2889572100,4205.068,
  POGhosts,      ONE_MODULE,9,6089.4,4949.3262,270,18740,494.9,608940,6133166400,4949.3262,
  POGhosts,      ONE_MODULE,10,1493.8,2460.2405,90,16780,246,149380,822369400,2460.2405,
  POGhosts,      ONE_MODULE,11,2190.3,3317.8277,100,17070,331.8,219030,1569531500,3317.8277,
  POGhosts,      ONE_MODULE,12,6176.1,5268.3049,140,18840,526.8,617610,6562169700,5268.3049,
  POGhosts,      ONE_MODULE,13,4487.3,3962.5303,190,17320,396.3,448730,3568049100,3962.5303,
  POGhosts,      ONE_MODULE,14,8878.8,5088.5866,380,17720,508.9,887880,10446786600,5088.5866,
  POGhosts,      ONE_MODULE,15,7623.3,5146.4296,420,20320,514.6,762330,8433558300,5146.4296,
  POGhosts,      ONE_MODULE,16,5412.8,4449.959,210,16370,445,541280,4890251800,4449.959,
  POGhosts,      ONE_MODULE,17,4323.1,4111.8036,310,18490,411.2,432310,3542705300,4111.8036,
  POGhosts,      ONE_MODULE,18,6679.9,4628.7273,330,16520,462.9,667990,6583192900,4628.7273,
  POGhosts,      ONE_MODULE,19,6016.9,4300.3748,270,16900,430,601690,5451137700,4300.3748,
  POGhosts,     TWO_MODULES,0,5758.4,4150.7898,160,16440,415.1,575840,5021593600,4150.7898,420.894436
  POGhosts,     TWO_MODULES,1,1969.5,3025.9622,130,16810,302.6,196950,1294381300,3025.9622,
  POGhosts,     TWO_MODULES,2,8830.7,4654.525,510,17520,465.5,883070,9942921900,4654.525,
  POGhosts,     TWO_MODULES,3,6991.3,4014.9022,250,18300,401.5,699130,6483652100,4014.9022,
  POGhosts,     TWO_MODULES,4,6153.8,4577.3306,120,15810,457.7,615380,5861169000,4577.3306,
  POGhosts,     TWO_MODULES,5,4192.4,4628.6213,310,17320,462.9,419240,3878611200,4628.6213,
  POGhosts,     TWO_MODULES,6,3608,3566.8292,280,15800,356.7,360800,2561271200,3566.8292,
  POGhosts,     TWO_MODULES,7,2949.8,3318.6422,140,13920,331.9,294980,1960457200,3318.6422,
  POGhosts,     TWO_MODULES,8,6382.7,4568.4473,310,16310,456.8,638270,6140086300,4568.4473,
  POGhosts,     TWO_MODULES,9,4764.1,4037.802,310,15880,403.8,476410,3883745500,4037.802,
  POGhosts,     TWO_MODULES,10,6601.4,4623.7317,140,18800,462.4,660140,6474358800,4623.7317,
  POGhosts,     TWO_MODULES,11,5652.3,4656.904,190,16840,465.7,565230,5341838300,4656.904,
  POGhosts,     TWO_MODULES,12,5246.4,4558.8,90,16720,455.9,524640,4809954400,4558.8,
  POGhosts,     TWO_MODULES,13,6365.1,4722.4701,320,17520,472.2,636510,6259320500,4722.4701,
  POGhosts,     TWO_MODULES,14,2737.8,3353.8199,280,16640,335.4,273780,1863117600,3353.8199,
  POGhosts,     TWO_MODULES,15,2858.2,3428.1277,200,13620,342.8,285820,1980384600,3428.1277,
  POGhosts,     TWO_MODULES,16,2498.8,3194.9826,200,13930,319.5,249880,1634983600,3194.9826,
  POGhosts,     TWO_MODULES,17,6815.4,4648.8948,100,18120,464.9,681540,6784577800,4648.8948,
  POGhosts,     TWO_MODULES,18,4034.3,4009.0981,310,17990,400.9,403430,3218771500,4009.0981,
  POGhosts,     TWO_MODULES,19,6953.7,4768.8354,280,16080,476.9,695370,7086831700,4768.8354,
  POGhosts,   THREE_MODULES,0,4087.2,3979.5685,190,17310,398,408720,3238380000,3979.5685,517.8604275
  POGhosts,   THREE_MODULES,1,1279.6,2424.5245,110,13850,242.5,127960,745691200,2424.5245,
  POGhosts,   THREE_MODULES,2,2434.9,3266.3257,150,15320,326.6,243490,1649093300,3266.3257,
  POGhosts,   THREE_MODULES,3,3444.7,3735.6177,140,15600,373.6,344470,2568124900,3735.6177,
  POGhosts,   THREE_MODULES,4,3167.8,4017.9716,160,16120,401.8,316780,2601761200,4017.9716,
  POGhosts,   THREE_MODULES,5,3486.8,3646.8622,240,16220,364.7,348680,2532438200,3646.8622,
  POGhosts,   THREE_MODULES,6,8802.5,4816.1233,240,17770,481.6,880250,10044709900,4816.1233,
  POGhosts,   THREE_MODULES,7,2090.3,2964.6007,250,16100,296.5,209030,1307032300,2964.6007,
  POGhosts,   THREE_MODULES,8,6742.4,4688.6065,210,17520,468.9,674240,6722315800,4688.6065,
  POGhosts,   THREE_MODULES,9,2043.1,2660.4783,210,15100,266,204310,1118162100,2660.4783,
  POGhosts,   THREE_MODULES,10,2802.7,3439.6435,110,14610,344,280270,1956796300,3439.6435,
  POGhosts,   THREE_MODULES,11,4235.6,4036.3248,180,15320,403.6,423560,3406930600,4036.3248,
  POGhosts,   THREE_MODULES,12,6843.4,4513.9296,140,17520,451.4,684340,6700392800,4513.9296,
  POGhosts,   THREE_MODULES,13,5310.5,4537.6836,160,16320,453.8,531050,4858607700,4537.6836,
  POGhosts,   THREE_MODULES,14,3637.9,3939.8506,170,17090,394,363790,2860151500,3939.8506,
  POGhosts,   THREE_MODULES,15,6336.6,4808.5803,300,15920,480.9,633660,6304372000,4808.5803,
  POGhosts,   THREE_MODULES,16,6917.1,4916.0207,70,16380,491.6,691710,7177185900,4916.0207,
  POGhosts,   THREE_MODULES,17,5985.4,4305.8631,180,14870,430.6,598540,5418006600,4305.8631,
  POGhosts,   THREE_MODULES,18,6834.1,4532.6972,370,16520,453.3,683410,6704481300,4532.6972,
  POGhosts,   THREE_MODULES,19,9269.3,4281.4331,230,17520,428.1,926930,10406728500,4281.4331,
  POGhosts, THREE_MULTITASK,0,5013.7,4531.1977,120,17420,453.1,501370,4546362300,4531.1977,394.8001845
  POGhosts, THREE_MULTITASK,1,11577.8,4513.9838,2120,20320,451.4,1157780,15421774200,4513.9838,
  POGhosts, THREE_MULTITASK,2,8089,5096.8684,300,19920,509.7,808900,9115020800,5096.8684,
  POGhosts, THREE_MULTITASK,3,9660.3,4569.0685,900,19520,456.9,966030,11398901900,4569.0685
  POGhosts, THREE_MULTITASK,4,11324.9,4147.503,1290,20090,414.8,1132490,14528312300,4147.503
  POGhosts, THREE_MULTITASK,5,11375.9,4320.8279,980,20560,432.1,1137590,14789395900,4320.8279
  POGhosts, THREE_MULTITASK,6,11209,4841.7197,1240,20120,484.2,1120900,14884950800,4841.7197
  POGhosts, THREE_MULTITASK,7,9972.2,5188.9079,690,19120,518.9,997220,12610029000,5188.9079
  POGhosts, THREE_MULTITASK,8,12983.2,3878.8772,1970,18720,387.9,1298320,18345871400,3878.8772
  POGhosts, THREE_MULTITASK,9,10338.4,5133.594,340,18950,513.4,1033840,13297276400,5133.594
  POGhosts, THREE_MULTITASK,10,11521,4413.4843,1520,20320,441.3,1152100,15201749600,4413.4843
  POGhosts, THREE_MULTITASK,11,11734.7,4143.58,2550,19300,414.4,1173470,15470074700,4143.58
  POGhosts, THREE_MULTITASK,12,7974.5,4354.9378,480,17260,435.5,797450,8236847900,4354.9378
  POGhosts, THREE_MULTITASK,13,11034.8,5379.127,340,19320,537.9,1103480,15041246800,5379.127
  POGhosts, THREE_MULTITASK,14,11131.1,4485.3008,1500,19520,448.5,1113110,14381813100,4485.3008
  POGhosts, THREE_MULTITASK,15,9932,5059.3448,200,20060,505.9,993200,12398562400,5059.3448
  POGhosts, THREE_MULTITASK,16,9029.8,5402.5856,610,19320,540.3,902980,11043334000,5402.5856
  POGhosts, THREE_MULTITASK,17,10827.4,4877.6211,190,19920,487.8,1082740,14078586600,4877.6211
  POGhosts, THREE_MULTITASK,18,11626.6,4499.6755,400,21520,450,1162660,15522243600,4499.6755
  POGhosts, THREE_MULTITASK,19,10584.4,5024.5829,850,19620,502.5,1058440,13702349200,5024.5829,
  POGhosts,             MMD,0,7291,4732.8964,140,17480,473.3,729100,7533498600,4732.8964,642.946438
